id	sample	mel_notes	chord_notes	off_stream_notes
001	0	145	181	0
001	1	210	209	0
001	2	134	134	0
002	0	195	192	0
002	1	194	184	0
002	2	333	197	0
003	0	99	389	0
003	1	148	197	0
003	2	245	52	0
004	0	78	198	0
004	1	170	188	0
004	2	116	230	0
005	0	146	297	0
005	1	108	421	0
005	2	115	211	0
006	0	119	103	0
006	1	99	159	0
006	2	220	70	0
016	0	112	137	0
016	1	170	177	0
016	2	154	174	0
026	0	106	104	0
026	1	87	104	0
026	2	202	148	0
036	0	91	116	0
036	1	90	112	0
036	2	101	120	0
046	0	171	104	0
046	1	125	88	0
046	2	79	128	0
056	0	114	211	0
056	1	121	185	0
056	2	119	180	0
066	0	131	132	0
066	1	85	133	0
066	2	120	180	0
076	0	113	163	0
076	1	97	171	0
076	2	86	209	0
086	0	83	110	0
086	1	164	205	0
086	2	169	194	0
096	0	131	91	0
096	1	97	104	0
096	2	29	298	0
106	0	144	130	0
106	1	126	116	0
106	2	130	168	0
116	0	247	130	0
116	1	127	210	0
116	2	497	392	0
136	0	232	176	0
136	1	172	225	0
136	2	159	176	0
146	0	161	104	0
146	1	301	60	0
146	2	146	222	0
156	0	119	225	0
156	1	143	193	0
156	2	123	165	0
166	0	102	181	0
166	1	104	119	0
166	2	109	187	0
176	0	96	141	0
176	1	86	132	0
176	2	96	132	0
186	0	203	187	0
186	1	174	318	0
186	2	149	217	0
196	0	169	136	0
196	1	82	247	0
196	2	142	169	0
206	0	154	164	0
206	1	149	200	0
206	2	179	162	0
216	0	173	232	0
216	1	116	136	0
216	2	104	122	0
226	0	116	591	0
226	1	123	240	0
226	2	170	167	0
236	0	66	108	0
236	1	89	136	0
236	2	103	148	0
246	0	70	209	0
246	1	107	144	0
246	2	95	144	0
256	0	196	197	0
256	1	145	165	0
256	2	235	200	0
266	0	121	120	0
266	1	160	163	0
266	2	89	112	0
276	0	195	202	0
276	1	177	181	0
276	2	157	174	0
286	0	271	174	0
286	1	124	104	0
286	2	235	200	0
296	0	338	309	0
296	1	240	214	0
296	2	222	365	0
306	0	65	96	0
306	1	78	100	0
306	2	71	80	0
316	0	98	92	0
316	1	120	104	0
316	2	83	136	0
336	0	292	85	0
336	1	120	180	0
336	2	158	289	0
346	0	90	277	0
346	1	95	218	0
346	2	109	186	0
356	0	112	194	0
356	1	156	141	0
356	2	194	172	0
366	0	94	180	0
366	1	53	182	0
366	2	87	149	0
376	0	139	135	0
376	1	113	153	0
376	2	122	160	0
386	0	106	104	0
386	1	89	112	0
386	2	88	112	0
396	0	90	100	0
396	1	148	223	0
396	2	239	100	0
406	0	134	264	0
406	1	110	216	0
406	2	86	219	0
416	0	85	149	0
416	1	106	162	0
416	2	360	32	0
426	0	138	128	0
426	1	225	224	0
426	2	201	128	0
436	0	144	119	0
436	1	110	134	0
436	2	114	437	0
446	0	153	157	0
446	1	162	204	0
446	2	148	156	0
456	0	128	149	0
456	1	118	149	0
456	2	96	122	0
466	0	189	179	0
466	1	137	197	0
466	2	136	156	0
476	0	198	81	0
476	1	135	225	0
476	2	172	320	0
486	0	152	152	0
486	1	84	106	0
486	2	133	123	0
496	0	99	184	0
496	1	339	90	0
496	2	119	214	0
516	0	95	188	0
516	1	103	166	0
516	2	233	142	0
526	0	165	117	0
526	1	84	114	0
526	2	206	46	0
536	0	132	179	0
536	1	213	166	0
536	2	129	192	0
546	0	101	119	0
546	1	162	154	0
546	2	111	155	0
556	0	172	128	0
556	1	114	154	0
556	2	135	149	0
566	0	184	160	0
566	1	114	225	0
566	2	118	182	0
576	0	117	111	0
576	1	185	138	0
576	2	145	114	0
586	0	110	100	0
586	1	214	181	0
586	2	79	123	0
616	0	158	215	0
616	1	153	224	0
616	2	171	217	0
626	0	84	100	0
626	1	117	144	0
626	2	86	108	0
636	0	168	182	0
636	1	222	118	0
636	2	626	161	0
646	0	224	152	0
646	1	212	96	0
646	2	213	132	0
656	0	220	64	0
656	1	99	167	0
656	2	118	186	0
666	0	129	215	0
666	1	138	149	0
666	2	111	196	0
676	0	161	309	0
676	1	114	204	0
676	2	173	124	0
686	0	169	204	0
686	1	115	218	0
686	2	108	260	0
706	0	165	93	0
706	1	107	160	0
706	2	166	180	0
716	0	150	130	0
716	1	124	108	0
716	2	106	112	0
726	0	176	155	0
726	1	253	170	0
726	2	282	157	0
736	0	136	110	0
736	1	137	116	0
736	2	130	124	0
746	0	289	208	0
746	1	226	210	0
746	2	508	673	0
756	0	118	140	0
756	1	112	132	0
756	2	123	139	0
766	0	197	156	0
766	1	199	152	0
766	2	191	173	0
776	0	259	97	0
776	1	213	137	0
776	2	145	119	0
796	0	143	155	0
796	1	170	130	0
796	2	119	197	0
806	0	58	208	0
806	1	162	157	0
806	2	184	211	0
816	0	130	342	0
816	1	138	119	0
816	2	174	111	0
826	0	230	196	0
826	1	145	140	0
826	2	102	192	0
836	0	92	148	0
836	1	230	97	0
836	2	34	145	0
846	0	166	140	0
846	1	176	164	0
846	2	225	120	0
856	0	152	120	0
856	1	194	393	0
856	2	189	152	0
866	0	101	125	0
866	1	117	112	0
866	2	157	208	0
876	0	34	139	0
876	1	148	179	0
876	2	119	172	0
896	0	110	301	0
896	1	186	167	0
896	2	124	125	0
906	0	197	277	0
906	1	178	196	0
906	2	129	150	0
